@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
229490 , 12 , 17 , 17 , 19 , 10 , 25 , 28 , 33 , 45 , 45 , 5.42264141298 , 320.5 , 68.5 , 41.5 , 14.7791310671 , 0.454462824941 , 9.31677018634 , 615 , 75 , 66 , 16.8379052369 , 0.0679545839688 , 11 , 0.199963642974 , 15 , 0.272677694965 , 40.0363960276 , 0.59 , Journal , 1
663669 , 4 , 8 , 7 , 11 , 10 , 3 , 5 , 3 , 2 , 7 , 4.02165869694 , 717.5 , 136.75 , 59.5 , 15.7343329489 , 0.384467512495 , 12.822144448 , 2821 , 275 , 220 , 0.0 , 0.000384467512495 , 4 , 0.153787004998 , 6 , 0.230680507497 , 9.53013430223 , 2.75 , Conference , -1
745590 , 2 , 7 , 5 , 4 , 8 , 5 , 14 , 9 , 9 , 10 , 1.60833861099 , 53.5 , 99.0 , 29.5 , 21.1018981019 , 0.699300699301 , 1.91797592328 , 94 , 164 , 49 , 19.6777408638 , 0.231360491929 , 0 , 0.0 , 1 , 0.0999000999001 , 11.7816548554 , 16.64 , Journal , -1
2064504 , 1 , 4 , 1 , 3 , 9 , 9 , 11 , 14 , 13 , 12 , 2.08672970329 , 192.0 , 35.0 , 92.0 , 13.2009987516 , 0.249687890137 , 2.08672970329 , 192 , 35 , 92 , 0.0 , 0.00124843945069 , 5 , 0.624219725343 , 5 , 0.624219725343 , 0 , 0 , Unknown , -1
196736 , 8 , 13 , 27 , 34 , 41 , 43 , 52 , 57 , 55 , 51 , 4.0183116766 , 415.5 , 237.25 , 59.75 , 12.8145939309 , 0.31573408174 , 7.21043899377 , 1608 , 713 , 223 , 3.18881118881 , 0.149380689449 , 19 , 0.333274864059 , 26 , 0.456060340291 , 9.3923053444 , 7.78 , Conference , 1
565382 , 4 , 8 , 17 , 20 , 20 , 29 , 35 , 30 , 28 , 25 , 4.70941197056 , 149.333333333 , 85.0 , 20.6666666667 , 14.3430348811 , 0.19995556543 , 11.7966295344 , 413 , 93 , 35 , 0.0 , 0.000222172850478 , 16 , 0.355476560764 , 21 , 0.466562986003 , 40.8587094968 , 0.94 , Conference , 1
2023565 , 4 , 5 , 6 , 15 , 14 , 10 , 12 , 11 , 15 , 5 , 2.55888832401 , 151.0 , 174.0 , 59.0 , 7.52803129074 , 0.478053020426 , 2.55888832401 , 151 , 174 , 59 , 18.3880597015 , 0.0803678528589 , 14 , 0.608431116906 , 19 , 0.825727944372 , 0 , 0 , Unknown , -1
24718 , 8 , 13 , 8 , 6 , 5 , 7 , 9 , 8 , 8 , 7 , 17.6893196862 , 2146.25 , 126.75 , 116.0 , 3.69654950016 , 0.0967429861335 , 25.9489369964 , 3095 , 158 , 199 , 0.0 , 0.000322476620445 , 23 , 0.741696227024 , 24 , 0.773943889068 , 8.86092101463 , 14.74 , Journal , -1
262291 , 5 , 2 , 9 , 5 , 8 , 4 , 11 , 13 , 8 , 5 , 3.95532749974 , 273.5 , 385.5 , 53.0 , 1.93906093906 , 0.599400599401 , 5.34289465711 , 529 , 686 , 99 , 28.245363766 , 0.412110523222 , 10 , 0.999000999001 , 10 , 0.999000999001 , 27.5809145488 , 2.57 , Journal , -1
319636 , 86 , 134 , 204 , 309 , 381 , 382 , 410 , 371 , 322 , 340 , 9.18077813253 , 676.0 , 236.0 , 65.0 , 11.73136792 , 0.268708853957 , 11.2104605326 , 1166 , 322 , 104 , 5.1449203802 , 0.134565870999 , 192 , 0.368514999712 , 279 , 0.535498358957 , 20.5644757334 , 10.63 , Journal , 1
